"Mid-year population estimates in deprivation decile areas by sex and single year of age, England, 20201,2,3,4",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Deprivation Decile (IMD 2020),0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90+
Males,1,39737,41655,43039,45260,45647,45480,45560,46097,46898,45334,44433,43557,43536,41720,40577,38013,36798,36004,35496,36533,36655,36588,37002,37790,38364,39803,42005,42274,43195,44676,44907,42953,42253,40559,41271,41567,39410,38883,37858,37358,37241,35030,32329,31511,31941,32241,31926,33014,34093,34635,34390,34497,34484,34420,33449,33709,33245,32213,31463,29593,29034,27915,27231,25892,24501,23295,22634,21870,21085,20223,19588,18881,19423,19795,14990,13838,13148,12117,10773,9664,9513,8914,8393,7433,6735,5791,4976,4359,3642,3113,10450
,2,37089,38375,39154,40864,41193,41245,41591,42479,43321,41418,41092,40144,40019,38415,37563,35956,34980,33981,33579,34997,37426,38947,39454,40846,41614,42098,44001,45144,45562,47042,46604,45366,44966,43750,44291,43776,41989,41299,40278,39929,39727,37350,34543,33209,33731,33470,33290,34401,35302,36520,36042,36447,36313,35935,35377,35411,34744,33642,32806,31488,29950,28665,27773,26426,25081,23655,23033,22204,21129,20591,20402,20017,20364,21463,16277,15126,14447,13368,11842,10671,10638,10064,9353,8361,7391,6762,5406,4869,4230,3489,11773
,3,35683,36629,37682,38279,39102,39218,39107,39869,40961,39072,38247,37367,37567,36205,35575,33858,32821,32649,32888,35088,39055,41089,42716,44808,45932,45476,47449,47720,48633,50582,49468,48291,48105,46628,47312,46589,44787,43551,42332,42199,41052,38695,35742,34379,34928,35122,35125,35913,36772,37952,37096,37278,37194,36880,36462,36490,35996,34898,34073,32266,31082,29932,29161,27677,26322,24824,24497,23725,22655,22026,22023,22029,22283,23708,17714,16915,16221,14971,13323,11772,11558,11107,10211,9196,8113,7426,6237,5226,4690,4165,13226
,4,32842,33203,34367,35100,35796,35460,35855,36218,36944,35758,35044,34109,34365,33425,32229,31353,30862,30625,31112,35681,39042,41453,42546,43990,44391,43905,45707,45820,46523,48373,46809,46188,45941,44293,44937,43726,42114,42050,40795,40870,39850,37908,35218,34158,34722,34312,34406,35589,37088,38229,37152,37701,37643,38275,38077,38127,37524,36787,35717,34478,32613,31864,30672,29688,28273,26946,26992,26189,25122,25198,25390,25419,26314,28089,21191,19904,19521,17724,15507,13575,13599,12770,11849,10653,9313,8574,7105,6292,5480,4598,15545
,5,31043,32283,32385,33466,34232,33651,33685,34922,35232,34649,34009,33260,33432,32486,31853,30798,30499,29409,29412,32554,35487,37594,38117,39276,39504,39300,40872,40656,41857,43145,42177,41726,41553,40136,40820,40351,38720,38876,38687,38673,37916,36630,34233,33515,33335,34301,34350,36407,37585,38150,37475,38103,38148,39586,39289,39222,38855,37920,36882,35430,34045,33279,32537,31223,30188,28869,28503,28077,26775,27011,27063,27784,28911,30699,23553,22372,21855,20004,16938,14691,14911,14351,13366,12139,10714,9459,7821,7020,6062,5112,17157
,6,29626,30647,31895,32480,33255,32976,33140,34160,34992,34304,33713,33388,33777,32410,32069,30670,30463,29567,29478,30958,34155,36168,36988,38376,38525,38106,39024,39007,39902,41435,40051,39143,39888,38261,38918,38065,37017,37315,37397,37935,37626,36527,34045,33199,34153,34160,34841,36347,38184,39078,38067,39069,38901,40366,40194,40328,40254,38770,38055,37111,34694,34243,33664,32102,30923,30068,29395,29659,28166,28403,28766,29878,31382,33258,25252,24361,23893,21547,18795,15816,16104,15468,14612,13126,11704,10193,9056,7521,6693,5613,18589
,7,27644,28581,29984,30366,31583,31463,31515,32148,33280,33071,32282,31920,32569,31616,31056,30014,29763,29256,29025,29131,30772,31972,33258,34351,34670,34131,34617,34437,35058,36128,35281,34315,34782,33677,34489,34563,33837,34777,34684,35418,35273,34551,32371,32141,32542,33622,34375,35975,38045,38922,37799,39020,39363,40437,40347,40310,40190,39441,38431,37105,35536,34519,33629,32873,31491,30268,30472,29895,28824,29050,29662,30755,32216,34993,26940,25480,25179,22453,19341,16664,17191,16463,15119,13707,12313,10794,9224,8122,6958,5939,19259
,8,26883,28015,29564,30203,31629,31298,31698,32649,33619,33682,32784,32579,33135,32334,31663,31005,30885,30288,29731,29619,29971,31287,31775,32753,33024,32498,32699,32435,33534,33842,32949,32645,33368,32052,32810,32945,32432,33130,33741,34462,35190,34523,32736,32681,32734,34210,34917,36752,38626,39440,38488,39627,39781,40957,40497,40915,40379,39410,38615,37664,35585,34884,34217,32548,31694,30433,30470,30169,28941,29478,30190,31710,32784,36438,27146,26392,25857,22780,19849,17043,17237,16574,15399,13950,12599,11164,9672,8464,7412,6249,20148
,9,25449,27164,28533,29496,31282,31621,31915,32528,34178,33973,33505,33682,34145,33279,32775,31416,31298,30652,29370,25802,26798,28355,29230,30218,30206,30053,30201,29566,30129,30428,30155,29967,30310,29483,30435,30596,30400,31380,32421,33099,34615,34141,32375,32347,32937,33977,35408,37195,38751,39557,38891,40168,39661,40478,40769,40686,40319,39302,38631,37035,34922,34436,34041,32428,31431,29924,30067,30090,29064,29693,29986,31310,33404,36933,27884,26453,26354,23396,20157,17419,17556,16829,15713,14531,13086,11517,9962,8623,7572,6397,20989
,10,22819,24826,26957,28575,30733,31243,31938,32916,34704,35326,35035,35207,36010,35792,34920,34041,34001,33066,32670,33337,28298,27467,27334,28393,27671,26513,25927,24695,24270,23963,24450,24219,24786,23861,24813,26395,26541,27935,29194,30623,33171,33169,32017,32626,33685,35300,36598,38008,39914,40813,38754,40242,40150,40944,40635,40845,40433,39852,38512,37021,35550,34490,33758,32375,31432,30096,30110,29632,29040,29179,29936,31038,33685,37063,27948,26989,26538,23653,20042,17336,17882,17368,16427,14937,13478,12180,10699,9249,8135,6870,22412
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Females,1,37824,39601,41020,42638,43077,42842,43395,43691,44703,43013,42206,41733,41406,39474,39166,36625,34941,33726,33188,33633,35675,36419,36419,37336,37743,40233,43096,43901,45787,45703,45310,44435,44926,44006,42938,42215,40814,40443,39721,38199,38058,34985,31949,30857,32127,31674,32121,33356,34354,35814,34782,35335,34519,34287,34090,34301,32979,32585,31896,30418,29331,28243,27384,26231,24646,23398,22804,21956,20881,20377,20118,20138,20205,21461,16432,15505,15244,14543,13364,12105,12391,11788,11453,10544,9826,8901,7830,7027,6496,5719,22477
,2,35081,36280,37827,38729,39550,38929,39395,40180,41371,39759,38783,38195,38180,36673,36033,34238,33435,32420,31509,33364,36325,38068,38409,40059,40297,41799,43600,44496,46239,46601,45624,45639,45762,44949,44239,43663,42331,41882,40591,39645,39082,36524,33712,32690,33245,33697,34039,35141,36263,37702,37121,37180,37136,36911,36712,36339,35618,34659,33538,32164,30776,29377,28489,27289,25887,24242,24154,23124,22450,21724,21985,21693,22073,23621,18075,17241,17081,15777,14543,13255,13460,12972,12610,11618,10628,9780,8678,7933,7452,6528,26690
,3,34062,34744,36172,36792,36992,37118,36939,38159,38628,37177,36470,35623,35700,34401,33377,32167,31084,30351,30428,33433,36820,38707,40439,42756,44143,43969,45367,45876,47613,48095,46661,46578,47027,45981,45207,44488,42818,42393,41470,40629,39981,37518,34689,33821,34338,34331,34324,35711,36851,37991,37468,38257,38008,37797,37925,37599,36473,35774,34621,33423,32129,30607,29720,28661,27287,26162,26062,24894,23877,23680,24078,24016,24829,26099,20224,19332,19037,17979,16113,14620,14818,14259,13829,12586,11708,10850,9550,8537,7946,7106,29688
,4,30823,31919,32751,33192,33566,33877,33974,34268,35292,34233,33258,32627,32560,31547,30759,29529,28881,28304,29289,34706,37039,39042,39854,41601,41766,41392,42234,42499,44328,44888,43838,43742,44144,42660,42526,41831,40517,40003,39441,39150,38630,36645,33964,32987,33639,34074,33787,35543,36846,38452,37607,38738,38287,38457,38579,38754,38155,37550,36495,34982,33763,33050,32163,31146,30035,28362,28486,27680,26839,27022,27184,27426,28673,29952,23488,22629,21729,20354,18193,16146,16481,15918,15062,14145,13244,12124,10763,9831,8895,8105,33229
,5,29474,29952,30704,31704,32484,32161,32393,33111,33723,32863,32101,31597,31745,30522,29963,28825,28518,27871,27981,31843,34285,35543,35634,37100,37235,36947,37942,38846,40059,40469,39598,39629,40514,39551,39396,39180,38164,38406,38057,38428,37668,35797,33327,32743,33408,33745,34622,35756,37745,39185,38107,39280,39499,40011,40192,40076,40172,38991,38309,36715,35212,34636,33500,32191,31093,30456,30414,29976,28867,29154,29419,29664,31319,33913,26142,24901,24338,22442,20375,17832,18098,17616,16863,15533,14493,13022,11938,10791,9976,8975,36529
,6,28049,29162,29739,30842,32016,31464,31769,31889,33307,32485,31990,31452,31845,30705,30269,29300,29053,28344,28303,29645,32603,33808,34808,36142,36467,35598,36771,37060,38517,38970,38449,38348,38869,38224,38258,38033,37538,37569,38033,38038,38133,36482,34037,33117,33995,34360,35410,36770,38420,39952,39170,40051,40416,41058,41093,41511,41781,40335,39497,37895,36535,35808,35003,33886,32797,31791,31944,31338,30680,30768,31270,32273,33932,36576,27900,27042,26428,24630,21344,18793,19449,18834,17682,16693,15266,14104,12414,11572,10498,9460,39085
,7,26042,27183,28388,28834,29777,29846,30272,31158,31766,31549,30912,30292,30780,30056,29785,28724,28756,28034,27160,27678,28149,29771,30716,32139,31704,31536,32462,32077,33618,34267,33731,34471,35202,34895,35288,35198,34792,35357,35642,36510,36562,35433,32766,32568,33122,34073,35273,37169,38783,39916,39371,40240,40572,41352,41685,41618,41652,40666,39547,38485,37360,36022,35313,34368,33036,31950,32545,32116,31389,31783,32741,33321,35692,38128,29197,28248,28077,25469,22480,19650,20333,19704,18380,17386,15921,14355,12829,11684,10629,9448,39427
,8,25548,26352,27691,28909,30161,30052,30127,31068,32200,31633,31316,31046,31450,30671,30105,29167,28827,28058,27311,26923,26031,27682,28574,29478,29630,29965,30751,30724,31814,32711,32216,32483,33593,33209,33703,34205,33780,34974,35510,36457,36400,35508,33398,33601,33812,34964,36116,37788,39346,41247,39948,41109,41046,41818,42401,42624,42027,40825,40241,38703,36564,36349,35762,34430,33182,32461,32675,32650,31938,32212,33031,33632,36257,39748,30274,29235,29201,26437,22848,20353,20374,20074,19091,17922,16258,15039,13242,11771,11023,9806,40451
,9,24529,25392,27063,28424,29728,29820,30338,31303,32538,32230,32374,31508,32528,31306,31095,30001,30309,29048,27679,23774,23578,25024,26281,27007,27234,27582,27676,27529,28959,29707,29430,29922,31216,31231,31715,32617,32730,34246,35019,36125,37053,36356,34003,33891,34860,36037,36850,37975,40001,41370,40134,41444,41495,41901,42172,42729,41888,41127,39663,38519,36696,36054,35528,33736,32892,32222,32469,32466,31951,32142,33432,35070,37067,40102,30660,29918,29206,26941,23348,20558,21018,20883,19567,18043,16486,15237,13608,12325,11243,9911,41680
,10,21666,23513,25311,26863,29013,29426,30128,31127,32891,33517,33533,33587,34072,33736,33193,32056,31849,31372,31002,31757,24991,24503,24662,25981,25144,24207,23508,22428,22916,23745,24256,24678,25971,26547,27455,28952,30303,31440,32943,34750,36655,36376,34802,35167,35554,37631,38453,39865,41466,43072,41043,41929,41467,42246,42587,42705,42636,41276,39947,38706,36585,36046,35351,33723,32452,31721,32182,32134,31624,32394,33795,34708,37095,40813,31260,29974,30088,27121,23237,20614,21167,21125,19859,18560,17153,15786,14000,12645,11465,10314,42263
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1 Based on postcode boundaries as of August 2021.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2 These populations are based on mid-year estimates. More information can be found here:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Population estimates for the UK, England and Wales, Scotland and Northern Ireland: mid-2020",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"3 The estimated resident population of an area includes all those people who usually live there, regardless of nationality. Arriving international migrants are included in the usually resident population if they remain in the UK for at least a year. Emigrants are excluded if they remain outside the UK for at least a year. This is consistent with the United Nations definition of a long-term migrant. Armed forces stationed outside of the UK are excluded. Students are taken to be usually resident at their term time address.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"4 Index of Multiple Deprivation (IMD) is the official measure of relative deprivation for small areas in England. It is designed to identify those small areas where there are the highest concentrations of several different types of deprivation. IMD decile range from 1 to 10, 1 being the most deprived and 10 being the least deprived. IMD decile is assigned to each Lower Super Output Area (LSOA) in England. In this table, data is based on LSOA 2011/IMD 2019. More information on IMD can be found here:",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
English indices of deprivation 2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Source: Office for National Statistics,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
