group,Ethnic_Group,cohort,N,Total,region,percentage
16_2001,African,ONS,977740,53012455,England,1.8443590284585007
16_2001,African,TPP,330955,24085440,England,1.374087415467602
16_2001,Any other ethnic group,ONS,548420,53012455,England,1.034511606753545
16_2001,Any other ethnic group,TPP,407935,24085440,England,1.6936995961045345
16_2001,Bangladeshi,ONS,436515,53012455,England,0.8234197039167495
16_2001,Bangladeshi,TPP,124820,24085440,England,0.5182384046129114
16_2001,British,ONS,42279235,53012455,England,79.75339946056073
16_2001,British,TPP,16271945,24085440,England,67.55925986820253
16_2001,Caribbean,ONS,591015,53012455,England,1.1148606492568587
16_2001,Caribbean,TPP,123545,24085440,England,0.5129447500232506
16_2001,Chinese,ONS,379505,53012455,England,0.7158789382608295
16_2001,Chinese,TPP,154975,24085440,England,0.6434385255158304
16_2001,Indian,ONS,1395700,53012455,England,2.6327775236970257
16_2001,Indian,TPP,670370,24085440,England,2.7832997860948354
16_2001,Irish,ONS,517000,53012455,England,0.9752425161219189
16_2001,Irish,TPP,113610,24085440,England,0.47169576308342304
16_2001,Other Asian,ONS,819400,53012455,England,1.5456745023410066
16_2001,Other Asian,TPP,365895,24085440,England,1.5191543106540715
16_2001,Other Black,ONS,277855,53012455,England,0.5241315460678062
16_2001,Other Black,TPP,128105,24085440,England,0.5318773499674493
16_2001,Other Mixed,ONS,283005,53012455,England,0.5338462442458097
16_2001,Other Mixed,TPP,155015,24085440,England,0.6436046009539373
16_2001,Other White,ONS,2484905,53012455,England,4.68739846136158
16_2001,Other White,TPP,2062520,24085440,England,8.563347815111538
16_2001,Pakistani,ONS,1112280,53012455,England,2.098148444549493
16_2001,Pakistani,TPP,551990,24085440,England,2.2917995270171523
16_2001,White and Asian,ONS,332710,53012455,England,0.6276072292822508
16_2001,White and Asian,TPP,84530,24085440,England,0.3509589195796298
16_2001,White and Black African,ONS,161550,53012455,England,0.3047397069235899
16_2001,White and Black African,TPP,69245,24085440,England,0.2874973427929903
16_2001,White and Black Caribbean,ONS,415615,53012455,England,0.7839950064565017
16_2001,White and Black Caribbean,TPP,91865,24085440,England,0.38141300304250203
16_2001,NA,TPP,2378115,24085440,England,9.873662262346047
5_2001,Asian,ONS,3763900,53012455,England,7.100029606250079
5_2001,Asian,TPP,1713120,24085440,England,7.112678863246841
5_2001,Black,ONS,1846615,53012455,England,3.483360655528969
5_2001,Black,TPP,582640,24085440,England,2.4190548314666453
5_2001,Mixed/multiple ethnic groups,ONS,1192880,53012455,England,2.250188186908152
5_2001,Mixed/multiple ethnic groups,TPP,400655,24085440,England,1.6634738663690596
5_2001,Other,ONS,927920,53012455,England,1.7503811132685707
5_2001,Other,TPP,562830,24085440,England,2.336805970744151
5_2001,White,ONS,45281140,53012455,England,85.41604043804423
5_2001,White,TPP,18447975,24085440,England,76.59388825780222
5_2001,NA,TPP,2378220,24085440,England,9.874098210371079
16_2001,African,TPP,89945,5628115,East,1.5981372093498445
16_2001,Any other ethnic group,TPP,73500,5628115,East,1.3059434641971601
16_2001,Bangladeshi,TPP,37775,5628115,East,0.6711838688441867
16_2001,British,TPP,3832390,5628115,East,68.09366901706878
16_2001,Caribbean,TPP,25685,5628115,East,0.4563694949374702
16_2001,Chinese,TPP,34045,5628115,East,0.6049094590284669
16_2001,Indian,TPP,101510,5628115,East,1.8036234156551527
16_2001,Irish,TPP,30700,5628115,East,0.5454757054537798
16_2001,Other Asian,TPP,68015,5628115,East,1.2084863226853042
16_2001,Other Black,TPP,31835,5628115,East,0.5656423154111101
16_2001,Other Mixed,TPP,37560,5628115,East,0.6673637621121814
16_2001,Other White,TPP,547750,5628115,East,9.732388197469312
16_2001,Pakistani,TPP,84595,5628115,East,1.5030787395069218
16_2001,White and Asian,TPP,19925,5628115,East,0.35402617039630496
16_2001,White and Black African,TPP,20755,5628115,East,0.3687735591756743
16_2001,White and Black Caribbean,TPP,21870,5628115,East,0.38858481036723663
16_2001,NA,TPP,570275,5628115,East,10.132611007415449
16_2001,African,TPP,55995,4174860,East Midlands,1.3412425805895287
16_2001,Any other ethnic group,TPP,59010,4174860,East Midlands,1.4134605711329242
16_2001,Bangladeshi,TPP,14050,4174860,East Midlands,0.3365382312221248
16_2001,British,TPP,2850540,4174860,East Midlands,68.27869677067015
16_2001,Caribbean,TPP,20255,4174860,East Midlands,0.48516596963730524
16_2001,Chinese,TPP,23985,4174860,East Midlands,0.574510282979549
16_2001,Indian,TPP,198450,4174860,East Midlands,4.753452810393642
16_2001,Irish,TPP,15290,4174860,East Midlands,0.3662398260061415
16_2001,Other Asian,TPP,51825,4174860,East Midlands,1.2413589916787628
16_2001,Other Black,TPP,20925,4174860,East Midlands,0.501214411980282
16_2001,Other Mixed,TPP,24280,4174860,East Midlands,0.5815763881902626
16_2001,Other White,TPP,340620,4174860,East Midlands,8.158836463977236
16_2001,Pakistani,TPP,52125,4174860,East Midlands,1.2485448613845733
16_2001,White and Asian,TPP,13970,4174860,East Midlands,0.33462199930057535
16_2001,White and Black African,TPP,11055,4174860,East Midlands,0.2647992986591167
16_2001,White and Black Caribbean,TPP,21605,4174860,East Midlands,0.5175023833134524
16_2001,NA,TPP,400875,4174860,East Midlands,9.602118394389272
16_2001,African,TPP,70360,1679270,London,4.189915856294699
16_2001,Any other ethnic group,TPP,118930,1679270,London,7.082244070340088
16_2001,Bangladeshi,TPP,17940,1679270,London,1.0683213539216445
16_2001,British,TPP,394375,1679270,London,23.484907132265807
16_2001,Caribbean,TPP,31095,1679270,London,1.8516974637789039
16_2001,Chinese,TPP,34380,1679270,London,2.0473181799234195
16_2001,Indian,TPP,171355,1679270,London,10.204136321139542
16_2001,Irish,TPP,23605,1679270,London,1.4056703210323533
16_2001,Other Asian,TPP,117520,1679270,London,6.998279014095409
16_2001,Other Black,TPP,29735,1679270,London,1.7707098917982218
16_2001,Other Mixed,TPP,32435,1679270,London,1.9314940420539877
16_2001,Other White,TPP,391550,1679270,London,23.31667927135005
16_2001,Pakistani,TPP,53450,1679270,London,3.182930678211365
16_2001,White and Asian,TPP,11300,1679270,London,0.6729114436630202
16_2001,White and Black African,TPP,8740,1679270,London,0.5204642493464422
16_2001,White and Black Caribbean,TPP,9720,1679270,London,0.5788229409207573
16_2001,NA,TPP,162780,1679270,London,9.693497769864285
16_2001,African,TPP,12880,1154530,North East,1.1156054844828631
16_2001,Any other ethnic group,TPP,19090,1154530,North East,1.6534867002156721
16_2001,Bangladeshi,TPP,3010,1154530,North East,0.2607121512650169
16_2001,British,TPP,883360,1154530,North East,76.512520246334
16_2001,Caribbean,TPP,3090,1154530,North East,0.2676413778767118
16_2001,Chinese,TPP,6760,1154530,North East,0.5855196486882107
16_2001,Indian,TPP,7315,1154530,North East,0.6335911583068435
16_2001,Irish,TPP,2860,1154530,North East,0.2477198513680892
16_2001,Other Asian,TPP,11545,1154530,North East,0.9999740154002061
16_2001,Other Black,TPP,3475,1154530,North East,0.300988280945493
16_2001,Other Mixed,TPP,5355,1154530,North East,0.46382510632032087
16_2001,Other White,TPP,65060,1154530,North East,5.635193541960798
16_2001,Pakistani,TPP,29525,1154530,North East,2.557317696378613
16_2001,White and Asian,TPP,3525,1154530,North East,0.30531904757780226
16_2001,White and Black African,TPP,2785,1154530,North East,0.2412237014196253
16_2001,White and Black Caribbean,TPP,3970,1154530,North East,0.34386287060535453
16_2001,NA,TPP,90930,1154530,North East,7.875932197517605
16_2001,African,TPP,11060,2072035,North West,0.5337747673181196
16_2001,Any other ethnic group,TPP,19355,2072035,North West,0.9341058428067093
16_2001,Bangladeshi,TPP,7315,2072035,North West,0.35303457711862973
16_2001,British,TPP,1680595,2072035,North West,81.10842722251313
16_2001,Caribbean,TPP,1070,2072035,North West,0.05164005434271139
16_2001,Chinese,TPP,8605,2072035,North West,0.4152922127280668
16_2001,Indian,TPP,20050,2072035,North West,0.9676477472629565
16_2001,Irish,TPP,5410,2072035,North West,0.2610959756953912
16_2001,Other Asian,TPP,16685,2072035,North West,0.8052470156150838
16_2001,Other Black,TPP,3390,2072035,North West,0.16360727497363703
16_2001,Other Mixed,TPP,6620,2072035,North West,0.3194926726623826
16_2001,Other White,TPP,84975,2072035,North West,4.101040764272804
16_2001,Pakistani,TPP,22330,2072035,North West,1.0776844985726592
16_2001,White and Asian,TPP,4610,2072035,North West,0.22248658927093412
16_2001,White and Black African,TPP,2750,2072035,North West,0.13271976583407133
16_2001,White and Black Caribbean,TPP,1710,2072035,North West,0.08252756348227708
16_2001,NA,TPP,175500,2072035,North West,8.46993414686528
16_2001,African,TPP,13945,1619390,South East,0.8611267205552707
16_2001,Any other ethnic group,TPP,25750,1619390,South East,1.5901049160486358
16_2001,Bangladeshi,TPP,7205,1619390,South East,0.444920618257492
16_2001,British,TPP,1144995,1619390,South East,70.70532731460611
16_2001,Caribbean,TPP,2640,1619390,South East,0.16302434867450089
16_2001,Chinese,TPP,9715,1619390,South East,0.5999172527927182
16_2001,Indian,TPP,20510,1619390,South East,1.2665262845886416
16_2001,Irish,TPP,7740,1619390,South East,0.47795774952296854
16_2001,Other Asian,TPP,18075,1619390,South East,1.1161610235953043
16_2001,Other Black,TPP,5520,1619390,South East,0.3408690926830473
16_2001,Other Mixed,TPP,10870,1619390,South East,0.6712404053378124
16_2001,Other White,TPP,129585,1619390,South East,8.002087205676212
16_2001,Pakistani,TPP,9535,1619390,South East,0.588801956292184
16_2001,White and Asian,TPP,5700,1619390,South East,0.3519843891835815
16_2001,White and Black African,TPP,4830,1619390,South East,0.29826045609766644
16_2001,White and Black Caribbean,TPP,3375,1619390,South East,0.20841180938501536
16_2001,NA,TPP,199395,1619390,South East,12.312969698466707
16_2001,African,TPP,12630,3299385,South West,0.38279861246868735
16_2001,Any other ethnic group,TPP,26935,3299385,South West,0.8163642618245521
16_2001,Bangladeshi,TPP,5115,3299385,South West,0.15502889174800757
16_2001,British,TPP,2558900,3299385,South West,77.55687802423785
16_2001,Caribbean,TPP,4495,3299385,South West,0.13623751093006728
16_2001,Chinese,TPP,14345,3299385,South West,0.4347779965054093
16_2001,Indian,TPP,29080,3299385,South West,0.8813763777188779
16_2001,Irish,TPP,11110,3299385,South West,0.33672942078599494
16_2001,Other Asian,TPP,23130,3299385,South West,0.7010397392241281
16_2001,Other Black,TPP,5840,3299385,South West,0.1770026838335023
16_2001,Other Mixed,TPP,13775,3299385,South West,0.4175020496243997
16_2001,Other White,TPP,205045,3299385,South West,6.214643031958986
16_2001,Pakistani,TPP,4470,3299385,South West,0.13547979396160192
16_2001,White and Asian,TPP,8725,3299385,South West,0.264443221994402
16_2001,White and Black African,TPP,5640,3299385,South West,0.17094094808577961
16_2001,White and Black Caribbean,TPP,6885,3299385,South West,0.20867525311535334
16_2001,NA,TPP,363270,3299385,South West,11.010233725376093
16_2001,African,TPP,25955,990720,West Midlands,2.619811854005168
16_2001,Any other ethnic group,TPP,20075,990720,West Midlands,2.0263041020671837
16_2001,Bangladeshi,TPP,15350,990720,West Midlands,1.5493782299741603
16_2001,British,TPP,520445,990720,West Midlands,52.531996931524546
16_2001,Caribbean,TPP,24845,990720,West Midlands,2.5077721253229974
16_2001,Chinese,TPP,9850,990720,West Midlands,0.9942264211886305
16_2001,Indian,TPP,65075,990720,West Midlands,6.568455264857881
16_2001,Irish,TPP,6810,990720,West Midlands,0.6873788759689923
16_2001,Other Asian,TPP,21985,990720,West Midlands,2.219093184754522
16_2001,Other Black,TPP,15760,990720,West Midlands,1.590762273901809
16_2001,Other Mixed,TPP,9190,990720,West Midlands,0.927608204134367
16_2001,Other White,TPP,76405,990720,West Midlands,7.712067990956073
16_2001,Pakistani,TPP,70210,990720,West Midlands,7.086765180878553
16_2001,White and Asian,TPP,5285,990720,West Midlands,0.5334504198966408
16_2001,White and Black African,TPP,3660,990720,West Midlands,0.3694282945736434
16_2001,White and Black Caribbean,TPP,11890,990720,West Midlands,1.2001372739018088
16_2001,NA,TPP,87925,990720,West Midlands,8.874858688630491
16_2001,African,TPP,37850,3458055,Yorkshire and The Humber,1.0945459224911114
16_2001,Any other ethnic group,TPP,45130,3458055,Yorkshire and The Humber,1.3050688898817397
16_2001,Bangladeshi,TPP,17040,3458055,Yorkshire and The Humber,0.4927625500461965
16_2001,British,TPP,2400330,3458055,Yorkshire and The Humber,69.41271899955322
16_2001,Caribbean,TPP,10245,3458055,Yorkshire and The Humber,0.2962648078182678
16_2001,Chinese,TPP,13280,3458055,Yorkshire and The Humber,0.38403090754774
16_2001,Indian,TPP,56915,3458055,Yorkshire and The Humber,1.645867402340333
16_2001,Irish,TPP,10070,3458055,Yorkshire and The Humber,0.2912041595636854
16_2001,Other Asian,TPP,37010,3458055,Yorkshire and The Humber,1.0702548108691157
16_2001,Other Black,TPP,11505,3458055,Yorkshire and The Humber,0.3327014752512612
16_2001,Other Mixed,TPP,14820,3458055,Yorkshire and The Humber,0.4285646121880653
16_2001,Other White,TPP,221075,3458055,Yorkshire and The Humber,6.393044645038902
16_2001,Pakistani,TPP,225445,3458055,Yorkshire and The Humber,6.5194162614533315
16_2001,White and Asian,TPP,11470,3458055,Yorkshire and The Humber,0.3316893456003447
16_2001,White and Black African,TPP,8945,3458055,Yorkshire and The Humber,0.258671420784227
16_2001,White and Black Caribbean,TPP,10635,3458055,Yorkshire and The Humber,0.30754282392848004
16_2001,NA,TPP,326300,3458055,Yorkshire and The Humber,9.435940145544244
16_2001,African,TPP,330,9070,NA,3.6383682469680267
16_2001,Any other ethnic group,TPP,155,9070,NA,1.7089305402425579
16_2001,Bangladeshi,TPP,20,9070,NA,0.2205071664829107
16_2001,British,TPP,6020,9070,NA,66.37265711135612
16_2001,Caribbean,TPP,135,9070,NA,1.4884233737596473
16_2001,Chinese,TPP,15,9070,NA,0.16538037486218302
16_2001,Indian,TPP,105,9070,NA,1.1576626240352812
16_2001,Irish,TPP,20,9070,NA,0.2205071664829107
16_2001,Other Asian,TPP,100,9070,NA,1.1025358324145533
16_2001,Other Black,TPP,120,9070,NA,1.3230429988974641
16_2001,Other Mixed,TPP,105,9070,NA,1.1576626240352812
16_2001,Other White,TPP,455,9070,NA,5.016538037486218
16_2001,Pakistani,TPP,300,9070,NA,3.307607497243661
16_2001,White and Asian,TPP,25,9070,NA,0.27563395810363833
16_2001,White and Black African,TPP,90,9070,NA,0.9922822491730982
16_2001,White and Black Caribbean,TPP,210,9070,NA,2.3153252480705624
16_2001,NA,TPP,860,9070,NA,9.481808158765158
5_2001,Asian,TPP,291885,5628115,East,5.186194667308682
5_2001,Black,TPP,147475,5628115,East,2.6203266990813088
5_2001,Mixed/multiple ethnic groups,TPP,100110,5628115,East,1.7787483020513972
5_2001,Other,TPP,107535,5628115,East,1.910675243842743
5_2001,White,TPP,4410835,5628115,East,78.37144408030042
5_2001,NA,TPP,570280,5628115,East,10.13269984710689
5_2001,Asian,TPP,316445,4174860,East Midlands,7.579775130184006
5_2001,Black,TPP,97170,4174860,East Midlands,2.3275031977120193
5_2001,Mixed/multiple ethnic groups,TPP,70920,4174860,East Midlands,1.6987395984536007
5_2001,Other,TPP,82960,4174860,East Midlands,1.9871325026467954
5_2001,White,TPP,3206450,4174860,East Midlands,76.80377306065354
5_2001,NA,TPP,400915,4174860,East Midlands,9.603076510350048
5_2001,Asian,TPP,360290,1679270,London,21.455156109499963
5_2001,Black,TPP,131195,1679270,London,7.812620960298225
5_2001,Mixed/multiple ethnic groups,TPP,62200,1679270,London,3.7039904244106068
5_2001,Other,TPP,153295,1679270,London,9.128669004984308
5_2001,White,TPP,809495,1679270,London,48.20517248566341
5_2001,NA,TPP,162795,1679270,London,9.694391015143484
5_2001,Asian,TPP,51395,1154530,North East,4.45159502135068
